,filename,class
0,jujutsukaisen_output_chunk_10000.wav,Jujutsu Kaisen
1,jujutsukaisen_output_chunk_1007.wav,Jujutsu Kaisen
2,jujutsukaisen_output_chunk_1008.wav,Jujutsu Kaisen
3,jujutsukaisen_output_chunk_1013.wav,Jujutsu Kaisen
4,jujutsukaisen_output_chunk_1015.wav,Jujutsu Kaisen
5,jujutsukaisen_output_chunk_1021.wav,Jujutsu Kaisen
6,jujutsukaisen_output_chunk_1025.wav,Jujutsu Kaisen
7,jujutsukaisen_output_chunk_1044.wav,Jujutsu Kaisen
8,jujutsukaisen_output_chunk_1046.wav,Jujutsu Kaisen
9,jujutsukaisen_output_chunk_1048.wav,Jujutsu Kaisen
10,jujutsukaisen_output_chunk_1061.wav,Jujutsu Kaisen
11,jujutsukaisen_output_chunk_1062.wav,Jujutsu Kaisen
12,jujutsukaisen_output_chunk_1065.wav,Jujutsu Kaisen
13,jujutsukaisen_output_chunk_1082.wav,Jujutsu Kaisen
14,jujutsukaisen_output_chunk_1086.wav,Jujutsu Kaisen
15,jujutsukaisen_output_chunk_1103.wav,Jujutsu Kaisen
16,jujutsukaisen_output_chunk_1109.wav,Jujutsu Kaisen
17,jujutsukaisen_output_chunk_1115.wav,Jujutsu Kaisen
18,jujutsukaisen_output_chunk_1136.wav,Jujutsu Kaisen
19,jujutsukaisen_output_chunk_1138.wav,Jujutsu Kaisen
20,jujutsukaisen_output_chunk_1139.wav,Jujutsu Kaisen
21,jujutsukaisen_output_chunk_1144.wav,Jujutsu Kaisen
22,jujutsukaisen_output_chunk_1147.wav,Jujutsu Kaisen
23,jujutsukaisen_output_chunk_1149.wav,Jujutsu Kaisen
24,jujutsukaisen_output_chunk_1152.wav,Jujutsu Kaisen
25,jujutsukaisen_output_chunk_1171.wav,Jujutsu Kaisen
26,jujutsukaisen_output_chunk_1176.wav,Jujutsu Kaisen
27,jujutsukaisen_output_chunk_1182.wav,Jujutsu Kaisen
28,jujutsukaisen_output_chunk_1189.wav,Jujutsu Kaisen
29,jujutsukaisen_output_chunk_1197.wav,Jujutsu Kaisen
30,jujutsukaisen_output_chunk_1199.wav,Jujutsu Kaisen
31,jujutsukaisen_output_chunk_1220.wav,Jujutsu Kaisen
32,jujutsukaisen_output_chunk_1222.wav,Jujutsu Kaisen
33,jujutsukaisen_output_chunk_1224.wav,Jujutsu Kaisen
34,jujutsukaisen_output_chunk_1236.wav,Jujutsu Kaisen
35,jujutsukaisen_output_chunk_1238.wav,Jujutsu Kaisen
36,jujutsukaisen_output_chunk_1249.wav,Jujutsu Kaisen
37,jujutsukaisen_output_chunk_1260.wav,Jujutsu Kaisen
38,jujutsukaisen_output_chunk_1265.wav,Jujutsu Kaisen
39,jujutsukaisen_output_chunk_1267.wav,Jujutsu Kaisen
40,jujutsukaisen_output_chunk_1274.wav,Jujutsu Kaisen
41,jujutsukaisen_output_chunk_1283.wav,Jujutsu Kaisen
42,jujutsukaisen_output_chunk_1289.wav,Jujutsu Kaisen
43,jujutsukaisen_output_chunk_1293.wav,Jujutsu Kaisen
44,jujutsukaisen_output_chunk_1299.wav,Jujutsu Kaisen
45,jujutsukaisen_output_chunk_1308.wav,Jujutsu Kaisen
46,jujutsukaisen_output_chunk_1309.wav,Jujutsu Kaisen
47,jujutsukaisen_output_chunk_1310.wav,Jujutsu Kaisen
48,jujutsukaisen_output_chunk_1313.wav,Jujutsu Kaisen
49,jujutsukaisen_output_chunk_1315.wav,Jujutsu Kaisen
50,jujutsukaisen_output_chunk_1322.wav,Jujutsu Kaisen
51,jujutsukaisen_output_chunk_1324.wav,Jujutsu Kaisen
52,jujutsukaisen_output_chunk_1327.wav,Jujutsu Kaisen
53,jujutsukaisen_output_chunk_1328.wav,Jujutsu Kaisen
54,jujutsukaisen_output_chunk_1330.wav,Jujutsu Kaisen
55,jujutsukaisen_output_chunk_1332.wav,Jujutsu Kaisen
56,jujutsukaisen_output_chunk_1337.wav,Jujutsu Kaisen
57,jujutsukaisen_output_chunk_1343.wav,Jujutsu Kaisen
58,jujutsukaisen_output_chunk_1347.wav,Jujutsu Kaisen
59,jujutsukaisen_output_chunk_1354.wav,Jujutsu Kaisen
60,jujutsukaisen_output_chunk_1357.wav,Jujutsu Kaisen
61,jujutsukaisen_output_chunk_1369.wav,Jujutsu Kaisen
62,jujutsukaisen_output_chunk_1371.wav,Jujutsu Kaisen
63,jujutsukaisen_output_chunk_1373.wav,Jujutsu Kaisen
64,jujutsukaisen_output_chunk_1375.wav,Jujutsu Kaisen
65,jujutsukaisen_output_chunk_1379.wav,Jujutsu Kaisen
66,jujutsukaisen_output_chunk_1385.wav,Jujutsu Kaisen
67,jujutsukaisen_output_chunk_1397.wav,Jujutsu Kaisen
68,jujutsukaisen_output_chunk_1405.wav,Jujutsu Kaisen
69,jujutsukaisen_output_chunk_1417.wav,Jujutsu Kaisen
70,jujutsukaisen_output_chunk_1419.wav,Jujutsu Kaisen
71,jujutsukaisen_output_chunk_1420.wav,Jujutsu Kaisen
72,jujutsukaisen_output_chunk_1423.wav,Jujutsu Kaisen
